cpus=64
          <idle>-0     [024]   221.793315: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
          <idle>-0     [000]   221.793317: sched_switch:         swapper/0:0 [120] R ==> kworker/0:4:686 [120]
     rcu_preempt-17    [024]   221.793329: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
     kworker/0:4-686   [000]   221.793996: sched_switch:         kworker/0:4:686 [120] W ==> swapper/0:0 [120]
          <idle>-0     [024]   221.801294: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.801300: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.801312: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.801325: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [024]   221.809297: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.809304: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.809317: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.809331: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [000]   221.833294: sched_waking:         comm=kworker/0:4 pid=686 prio=120 target_cpu=000
          <idle>-0     [000]   221.833300: sched_wakeup:         kworker/0:4:686 [120] CPU:000
          <idle>-0     [000]   221.833321: sched_switch:         swapper/0:0 [120] R ==> kworker/0:4:686 [120]
     kworker/0:4-686   [000]   221.833331: sched_switch:         kworker/0:4:686 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]   221.993331: sched_waking:         comm=kworker/0:4 pid=686 prio=120 target_cpu=000
          <idle>-0     [000]   221.993337: sched_wakeup:         kworker/0:4:686 [120] CPU:000
          <idle>-0     [000]   221.993358: sched_switch:         swapper/0:0 [120] R ==> kworker/0:4:686 [120]
     kworker/0:4-686   [000]   221.993383: sched_waking:         comm=kworker/1:1 pid=507 prio=120 target_cpu=001
     kworker/0:4-686   [000]   221.993384: sched_wake_idle_without_ipi: cpu=1
     kworker/0:4-686   [000]   221.993386: sched_waking:         comm=kworker/2:3 pid=1995 prio=120 target_cpu=002
     kworker/0:4-686   [000]   221.993387: sched_wake_idle_without_ipi: cpu=2
     kworker/0:4-686   [000]   221.993395: sched_waking:         comm=kworker/12:1 pid=526 prio=120 target_cpu=012
     kworker/0:4-686   [000]   221.993396: sched_wake_idle_without_ipi: cpu=12
     kworker/0:4-686   [000]   221.993400: sched_waking:         comm=kworker/15:1 pid=551 prio=120 target_cpu=015
     kworker/0:4-686   [000]   221.993401: sched_wake_idle_without_ipi: cpu=15
     kworker/0:4-686   [000]   221.993405: sched_waking:         comm=kworker/20:1 pid=532 prio=120 target_cpu=020
     kworker/0:4-686   [000]   221.993406: sched_wake_idle_without_ipi: cpu=20
     kworker/0:4-686   [000]   221.993408: sched_waking:         comm=kworker/24:1 pid=555 prio=120 target_cpu=024
     kworker/0:4-686   [000]   221.993409: sched_wake_idle_without_ipi: cpu=24
     kworker/0:4-686   [000]   221.993412: sched_waking:         comm=kworker/28:1 pid=494 prio=120 target_cpu=028
     kworker/0:4-686   [000]   221.993413: sched_wake_idle_without_ipi: cpu=28
     kworker/0:4-686   [000]   221.993418: sched_waking:         comm=kworker/36:1 pid=530 prio=120 target_cpu=036
     kworker/0:4-686   [000]   221.993419: sched_wake_idle_without_ipi: cpu=36
     kworker/0:4-686   [000]   221.993421: sched_waking:         comm=kworker/38:1 pid=542 prio=120 target_cpu=038
     kworker/0:4-686   [000]   221.993422: sched_wake_idle_without_ipi: cpu=38
     kworker/0:4-686   [000]   221.993425: sched_waking:         comm=kworker/46:1 pid=547 prio=120 target_cpu=046
     kworker/0:4-686   [000]   221.993426: sched_wake_idle_without_ipi: cpu=46
     kworker/0:4-686   [000]   221.993427: sched_waking:         comm=kworker/48:1 pid=531 prio=120 target_cpu=048
     kworker/0:4-686   [000]   221.993428: sched_wake_idle_without_ipi: cpu=48
     kworker/0:4-686   [000]   221.993431: sched_waking:         comm=kworker/54:1 pid=559 prio=120 target_cpu=054
     kworker/0:4-686   [000]   221.993432: sched_wake_idle_without_ipi: cpu=54
     kworker/0:4-686   [000]   221.993436: sched_waking:         comm=kworker/60:0 pid=379 prio=120 target_cpu=060
     kworker/0:4-686   [000]   221.993437: sched_wake_idle_without_ipi: cpu=60
     kworker/0:4-686   [000]   221.993440: sched_waking:         comm=kworker/62:1 pid=554 prio=120 target_cpu=062
     kworker/0:4-686   [000]   221.993440: sched_wake_idle_without_ipi: cpu=62
          <idle>-0     [002]   221.993442: sched_wakeup:         kworker/2:3:1995 [120] CPU:002
          <idle>-0     [001]   221.993444: sched_wakeup:         kworker/1:1:507 [120] CPU:001
          <idle>-0     [002]   221.993446: sched_switch:         swapper/2:0 [120] R ==> kworker/2:3:1995 [120]
          <idle>-0     [001]   221.993449: sched_switch:         swapper/1:0 [120] R ==> kworker/1:1:507 [120]
     kworker/0:4-686   [000]   221.993453: sched_switch:         kworker/0:4:686 [120] W ==> swapper/0:0 [120]
          <idle>-0     [015]   221.993472: sched_wakeup:         kworker/15:1:551 [120] CPU:015
     kworker/1:1-507   [001]   221.993472: sched_switch:         kworker/1:1:507 [120] W ==> swapper/1:0 [120]
          <idle>-0     [015]   221.993474: sched_switch:         swapper/15:0 [120] R ==> kworker/15:1:551 [120]
          <idle>-0     [020]   221.993477: sched_wakeup:         kworker/20:1:532 [120] CPU:020
          <idle>-0     [024]   221.993477: sched_wakeup:         kworker/24:1:555 [120] CPU:024
          <idle>-0     [036]   221.993477: sched_wakeup:         kworker/36:1:530 [120] CPU:036
          <idle>-0     [012]   221.993477: sched_wakeup:         kworker/12:1:526 [120] CPU:012
          <idle>-0     [028]   221.993479: sched_wakeup:         kworker/28:1:494 [120] CPU:028
          <idle>-0     [060]   221.993479: sched_wakeup:         kworker/60:0:379 [120] CPU:060
    kworker/15:1-551   [015]   221.993481: sched_switch:         kworker/15:1:551 [120] W ==> swapper/15:0 [120]
          <idle>-0     [036]   221.993481: sched_switch:         swapper/36:0 [120] R ==> kworker/36:1:530 [120]
          <idle>-0     [024]   221.993481: sched_switch:         swapper/24:0 [120] R ==> kworker/24:1:555 [120]
          <idle>-0     [020]   221.993481: sched_switch:         swapper/20:0 [120] R ==> kworker/20:1:532 [120]
          <idle>-0     [012]   221.993482: sched_switch:         swapper/12:0 [120] R ==> kworker/12:1:526 [120]
     kworker/2:3-1995  [002]   221.993484: sched_switch:         kworker/2:3:1995 [120] W ==> swapper/2:0 [120]
          <idle>-0     [028]   221.993484: sched_switch:         swapper/28:0 [120] R ==> kworker/28:1:494 [120]
          <idle>-0     [060]   221.993485: sched_switch:         swapper/60:0 [120] R ==> kworker/60:0:379 [120]
    kworker/12:1-526   [012]   221.993495: sched_switch:         kworker/12:1:526 [120] W ==> swapper/12:0 [120]
    kworker/24:1-555   [024]   221.993496: sched_switch:         kworker/24:1:555 [120] W ==> swapper/24:0 [120]
    kworker/60:0-379   [060]   221.993500: sched_switch:         kworker/60:0:379 [120] W ==> swapper/60:0 [120]
          <idle>-0     [046]   221.993500: sched_wakeup:         kworker/46:1:547 [120] CPU:046
          <idle>-0     [048]   221.993500: sched_wakeup:         kworker/48:1:531 [120] CPU:048
          <idle>-0     [054]   221.993501: sched_wakeup:         kworker/54:1:559 [120] CPU:054
          <idle>-0     [038]   221.993501: sched_wakeup:         kworker/38:1:542 [120] CPU:038
          <idle>-0     [062]   221.993501: sched_wakeup:         kworker/62:1:554 [120] CPU:062
          <idle>-0     [048]   221.993505: sched_switch:         swapper/48:0 [120] R ==> kworker/48:1:531 [120]
          <idle>-0     [046]   221.993505: sched_switch:         swapper/46:0 [120] R ==> kworker/46:1:547 [120]
          <idle>-0     [054]   221.993505: sched_switch:         swapper/54:0 [120] R ==> kworker/54:1:559 [120]
          <idle>-0     [038]   221.993505: sched_switch:         swapper/38:0 [120] R ==> kworker/38:1:542 [120]
          <idle>-0     [062]   221.993506: sched_switch:         swapper/62:0 [120] R ==> kworker/62:1:554 [120]
    kworker/36:1-530   [036]   221.993514: sched_switch:         kworker/36:1:530 [120] W ==> swapper/36:0 [120]
    kworker/54:1-559   [054]   221.993519: sched_switch:         kworker/54:1:559 [120] W ==> swapper/54:0 [120]
    kworker/48:1-531   [048]   221.993519: sched_switch:         kworker/48:1:531 [120] W ==> swapper/48:0 [120]
    kworker/62:1-554   [062]   221.993519: sched_switch:         kworker/62:1:554 [120] W ==> swapper/62:0 [120]
    kworker/20:1-532   [020]   221.993533: sched_switch:         kworker/20:1:532 [120] W ==> swapper/20:0 [120]
    kworker/28:1-494   [028]   221.993537: sched_switch:         kworker/28:1:494 [120] W ==> swapper/28:0 [120]
    kworker/46:1-547   [046]   221.993562: sched_switch:         kworker/46:1:547 [120] W ==> swapper/46:0 [120]
    kworker/38:1-542   [038]   221.993567: sched_switch:         kworker/38:1:542 [120] W ==> swapper/38:0 [120]
          <idle>-0     [000]   221.997277: sched_waking:         comm=kworker/0:4 pid=686 prio=120 target_cpu=000
          <idle>-0     [000]   221.997281: sched_wakeup:         kworker/0:4:686 [120] CPU:000
          <idle>-0     [000]   221.997298: sched_switch:         swapper/0:0 [120] R ==> kworker/0:4:686 [120]
     kworker/0:4-686   [000]   221.997503: sched_switch:         kworker/0:4:686 [120] W ==> swapper/0:0 [120]
          <idle>-0     [015]   222.089291: sched_waking:         comm=kcompactd1 pid=472 prio=120 target_cpu=015
          <idle>-0     [015]   222.089298: sched_wakeup:         kcompactd1:472 [120] CPU:015
